FCN,ResNet,Inception,InceptionTime,LITE,LITETime,ROCKET,MMM4TSC
0.896,0.916,0.898,0.94,0.898,0.91,0.886,0.915
0.71,0.7406,0.7729,0.7871,0.7423,0.7657,0.79,0.793
0.782,0.7937,0.8089,0.8229,0.7717,0.7886,0.7727,0.7767
0.6871,0.7257,0.7763,0.7929,0.7317,0.7529,0.7661,0.7667
0.8229,0.8378,0.7257,0.85,0.7825,0.8732,0.8362,0.798
0.718,0.7122,0.7295,0.7482,0.7108,0.7338,0.7482,0.7715
0.7075,0.7279,0.7061,0.7209,0.6789,0.7025,0.7294,0.7165
0.6796,0.7584,0.812,0.822,0.6988,0.74,0.5828,0.652
0.7,0.6985,0.7138,0.7462,0.74,0.7538,0.7169,0.7548
0.6277,0.6677,0.7,0.7154,0.6738,0.7077,0.6608,0.6462
0.3262,0.34,0.3692,0.3692,0.3846,0.4231,0.4146,0.5192
0.8791,0.9012,0.9233,0.9244,0.9116,0.9186,0.9058,0.9012
0.7848,0.7772,0.881,0.8861,0.8797,0.8987,0.8304,0.8735
0.8114,0.9135,0.9454,0.9568,0.9373,0.9541,0.9424,0.9521
0.474,0.5097,0.5455,0.5649,0.5299,0.5649,0.524,0.5658
0.9815,0.9832,0.9798,0.9832,0.9815,0.9832,0.9639,0.9687
0.3233,0.3771,0.4807,0.5055,0.5433,0.5509,0.4569,0.51
0.9703,0.9736,0.956,0.962,0.9476,0.9586,0.9559,0.9444
0.9579,0.9729,0.9644,0.9699,0.9768,0.9806,0.9711,0.9452
0.8943,0.9165,0.9101,0.913,0.9386,0.9439,0.9382,0.94
0.8217,0.8452,0.8347,0.859,0.8217,0.8403,0.8343,0.8334
0.3254,0.3334,0.329,0.3402,0.3094,0.337,0.2799,0.3075
0.744,0.704,0.748,0.76,0.756,0.78,0.83,0.8333
0.1923,0.4058,0.748,0.5433,0.3471,0.4712,0.0952,0.5673
0.9875,0.9913,0.9923,0.9952,0.9933,0.9952,0.9538,0.9423
0.8038,0.9183,0.9481,0.9615,0.9356,0.9471,0.9341,0.9122
0.632,0.552,0.78,0.82,0.828,0.86,0.9,0.8846
0.8313,0.8237,0.8153,0.8167,0.8437,0.8683,0.9268,0.8783
0.4782,0.4391,0.4067,0.4444,0.4787,0.5111,0.6451,0.6472
0.7418,0.7387,0.7849,0.8111,0.7676,0.8022,0.8811,0.8556
0.884,0.88,0.888,0.9,0.928,0.96,0.898,0.92
0.9663,0.9723,0.9776,0.9798,0.9744,0.9767,0.981,0.9685
0.8145,0.8608,0.9462,0.952,0.891,0.9123,0.9754,0.9649
0.7766,0.761,0.7688,0.7922,0.8104,0.8182,0.7403,0.7667
0.7325,0.7481,0.7584,0.7792,0.7844,0.7662,0.7974,0.7972
